"extract_date","tx_incid","R","taux_occupation_sae","tx_pos"
"2020-04-26",18.3377884755335,NA,90.9,NA
"2020-04-27",17.0420055689439,NA,89.5,NA
"2020-04-28",15.6627199664176,NA,86.8,NA
"2020-04-29",14.4877177450222,NA,81.6,NA
"2020-04-30",13.4707741980785,NA,78,NA
"2020-05-01",11.7634422900865,NA,75.5,NA
"2020-05-02",10.9239419720083,NA,74.5,NA
"2020-05-03",10.7181674713071,NA,74.4,NA
"2020-05-04",10.3245119047482,NA,71.9,NA
"2020-05-05",9.73999303319114,NA,66.7,NA
"2020-05-06",9.15249192249345,NA,61.2,NA
"2020-05-07",8.5277128225383,NA,57.6,NA
"2020-05-08",8.30851824570439,NA,55.8,NA
"2020-05-09",8.00432985336345,NA,54.6,NA
"2020-05-10",7.87609357031776,NA,53.9,NA
"2020-05-11",7.4913847211807,NA,52.7,NA
"2020-05-12",6.86809674079584,NA,49.3,NA
"2020-05-13",6.34918713033189,NA,47.2,NA
"2020-05-14",6.04947209670185,NA,44.6,NA
"2020-05-15",6.14490374920096,NA,42.7,NA
"2020-05-16",6.25673771697337,NA,41.3,NA
"2020-05-17",6.08675008595932,NA,40.5,NA
"2020-05-18",5.79449065018077,NA,38.7,NA
"2020-05-19",8.30404488699349,NA,36.7,2.20502931988169
"2020-05-20",8.54113289867098,NA,34.7,2.16126476247972
"2020-05-21",7.30201253575276,NA,33.8,2.11338115090154
"2020-05-22",6.95756391501376,NA,32.9,2.00545849182301
"2020-05-23",6.92028592575629,NA,32.2,1.9788175701604
"2020-05-24",6.91879480618599,NA,32,1.97620883075731
"2020-05-25",6.29699794537143,NA,31.1,1.8090379071192
"2020-05-26",5.86457326998481,NA,30,1.69040598970198
"2020-05-27",5.37399493135653,NA,29,1.60649730987479
"2020-05-28",6.05990993369394,NA,27.6,1.58160604621839
"2020-05-29",5.71098795424404,NA,26.3,1.5018135476914
"2020-05-30",5.82282192201644,NA,25.6,1.52587938323994
"2020-05-31",5.89290454182048,NA,25.4,1.53667290097559
"2020-06-01",5.07875325643739,0.84,25.1,1.56595541210926
"2020-06-02",5.02507295190664,0.83,24.1,1.59071062755186
"2020-06-03",4.92069458198573,0.83,23.3,1.56970936593255
"2020-06-04",4.89981890800155,0.84,22.4,1.58714058703916
"2020-06-05",4.85508532089258,0.85,21.1,1.59540585831463
"2020-06-06",4.76860038581526,0.86,20.4,1.57225592668705
"2020-06-07",4.66720425503495,0.87,20.2,1.54716887867329
"2020-06-08",5.26663432229503,0.89,19.7,1.50634395991044
"2020-06-09",5.01761735405514,0.9,18.3,1.46726665445761
"2020-06-10",4.85806756003318,0.9,17.9,1.44731172286957
"2020-06-11",4.85657644046288,0.9,17.3,1.4642874804994
"2020-06-12",4.92964129940752,0.89,16.8,1.50319189567685
"2020-06-13",4.78947605979944,0.89,16.7,1.46508116786856
"2020-06-14",4.76114478796377,0.88,16.6,1.46218379645742
"2020-06-15",4.65974865718345,0.87,16.2,1.43991964096468
"2020-06-16",4.68062433116764,0.86,15.7,1.4520441488033
"2020-06-17",4.94157025596991,0.86,14.7,1.53790466290466
"2020-06-18",4.87297875573617,0.86,14.3,1.52391966313355
"2020-06-19",4.98630384307887,0.86,13.8,1.55068236516158
"2020-06-20",5.20549841991278,0.87,13.6,1.60150838142599
"2020-06-21",5.20997177862368,0.88,13.6,1.60405466823981
"2020-06-22",5.37101269221594,0.89,13.3,1.62797109244001
"2020-06-23",5.49924897526163,0.89,12.9,1.63425193535665
"2020-06-24",5.4142551597546,0.9,12.5,1.57469729035839
"2020-06-25",5.30838567026339,0.91,12.3,1.53536294513665
"2020-06-26",5.16374707194442,0.92,12,1.46572084007009
"2020-06-27",5.16672931108501,0.94,11.7,1.4512420370161
"2020-06-28",5.33522582252877,0.95,11.7,1.48889776623722
