epci2020,semaine_glissante,clage_65,ti_classe,td_classe,tp_classe
200000438,2020-11-15-2020-11-21,0,[50;150[,[800;1000[,[5;10[
200000438,2020-11-15-2020-11-21,65,[50;150[,[800;1000[,[5;10[
200000438,2020-11-16-2020-11-22,0,[20;50[,[800;1000[,[1;5[
200000438,2020-11-16-2020-11-22,65,[50;150[,[800;1000[,[5;10[
200000438,2020-11-17-2020-11-23,0,[20;50[,[800;1000[,[1;5[
200000438,2020-11-17-2020-11-23,65,[50;150[,[800;1000[,[5;10[
200000438,2020-11-18-2020-11-24,0,[20;50[,[600;800[,[1;5[
200000438,2020-11-18-2020-11-24,65,[50;150[,[800;1000[,[5;10[
200000438,2020-11-19-2020-11-25,0,[20;50[,[600;800[,[1;5[
200000438,2020-11-19-2020-11-25,65,[50;150[,[800;1000[,[10;15[
200000438,2020-11-20-2020-11-26,0,[20;50[,[600;800[,[1;5[
200000438,2020-11-20-2020-11-26,65,[50;150[,[800;1000[,[5;10[
200000438,2020-11-21-2020-11-27,0,[20;50[,[600;800[,[1;5[
200000438,2020-11-21-2020-11-27,65,[50;150[,[800;1000[,[5;10[
200000438,2020-11-22-2020-11-28,0,[20;50[,[600;800[,[5;10[
200000438,2020-11-22-2020-11-28,65,[50;150[,[800;1000[,[5;10[
200000438,2020-11-23-2020-11-29,0,[20;50[,[300;600[,[5;10[
200000438,2020-11-23-2020-11-29,65,[50;150[,[800;1000[,[5;10[
200000438,2020-11-24-2020-11-30,0,[20;50[,[600;800[,[1;5[
200000438,2020-11-24-2020-11-30,65,[20;50[,[1000;1500[,[1;5[
200000545,2020-11-03-2020-11-09,0,[500;1000[,[2000;2500[,[25;30[
200000545,2020-11-03-2020-11-09,65,[500;1000[,[2000;2500[,[30;Max]
200000545,2020-11-04-2020-11-10,0,[500;1000[,[2000;2500[,[25;30[
200000545,2020-11-04-2020-11-10,65,[500;1000[,[2000;2500[,[30;Max]
200000545,2020-11-05-2020-11-11,0,[250;500[,[1500;2000[,[20;25[
200000545,2020-11-05-2020-11-11,65,[250;500[,[1500;2000[,[25;30[
200000545,2020-11-06-2020-11-12,0,[250;500[,[1500;2000[,[25;30[
200000545,2020-11-06-2020-11-12,65,[250;500[,[1500;2000[,[25;30[
200000545,2020-11-07-2020-11-13,0,[250;500[,[1500;2000[,[20;25[
200000545,2020-11-07-2020-11-13,65,[250;500[,[1500;2000[,[20;25[
200000545,2020-11-08-2020-11-14,0,[250;500[,[1500;2000[,[15;20[
200000545,2020-11-08-2020-11-14,65,[250;500[,[1500;2000[,[20;25[
200000545,2020-11-09-2020-11-15,0,[250;500[,[1500;2000[,[15;20[
