"Marché_National_Produit";"Catégorie_Produit";"Type_Produit";"Code_Référence";"Date_Dernière_Mise_A_Jour_Du_Dossier";"Nom_Marque_Produit";"Nom_Sous-type_Marque_Produit";"Filtre_Produit";"Unités_Conditionnement_Produit";"Poids_NET_Conditionnement_Produit";"Type_Conditionnement_Produit";"Type_Numéro_Produit";"Numéro_Produit";"Date_Notification";"Date_Lancement_Produit";"Longueur_Produit";"Diamètre_Produit";"Poids_Produit";"Poids_Tabac_Produit";"Longueur_Filtre_Produit";"Teneur_Totale_Nicotine_Tabac_Rouler_Pipe";"Teneur_Nicotine_Base_Tabac_Rouler_Pipe";"Teneur_Nicotine_Sans_Combusion";"Teneur_Nicotine_Base_Sans_Combusion";"pH_Sans_Combusion";"Humidité_Sans_Combustion"
"FR";"Produit du tabac";"Cigare";"ARTURO FUENTE EXQUISITOS MADURO [2244B80D3B6FFD65]";26/2/2020 16:41:00;"Arturo Fuente";"Exquisitos Maduro";"sans filtre";50.00;;"Boîte à couvercle basculant";"SKU";"AF1028M";18/11/2016 11:33:27;19/4/2000 00:00:00;114.00;13.00;5669.00;5651.24;;;;;;;
"FR";"Produit du tabac";"Cigare";"ARTURO FUENTE N°4 SUNGROWN [85E5A5FD7C868693]";26/2/2020 16:56:00;"Arturo Fuente";"N°4 Sungrown";"sans filtre";25.00;;"Boîte à couvercle basculant";"SKU";"AF0916";18/11/2016 11:30:48;13/5/2005 00:00:00;140.00;17.00;9071.00;9053.24;;;;;;;
"FR";"Produit du tabac";"Cigare";"ASHTON CLASSIC MAGNUM (ROBUSTO) 25ER  [04964BDCCD06B112]";30/12/2019 15:23:00;"Ashton Classic Magnum (Robusto) 25er";;"sans filtre";25.00;;"Boîte à couvercle basculant";"-";"1500403";17/11/2016 17:51:31;1/1/1989 00:00:00;125.00;19.50;13040.80;13039.46;;;;;;;
"FR";"Produit du tabac";"Cigare";"ASYLUM 13  [074C92EA026870B5]";26/8/2020 21:53:00;"Asylum 13";;"sans filtre";20.00;;"Boîte avec couvercle coulissant";"EAN";"743400330646";1/12/2016 21:44:13;12/10/2015 00:00:00;117.80;27.78;22700.00;22675.00;;;;;;;
"FR";"Produit du tabac";"Cigare";"ASYLUM 13  [0B3199369D216326]";9/7/2020 21:26:00;"Asylum 13";;"sans filtre";20.00;;"Fagot";"EAN";"7434003300080";29/11/2016 21:39:10;2/2/2017 00:00:00;152.40;31.75;27200.00;27170.00;;;;;;;
"FR";"Produit du tabac";"Cigare";"ASYLUM 13  [2E95764742BE768C]";26/8/2020 21:53:00;"Asylum 13";;"sans filtre";21.00;;"Boîte avec couvercle coulissant";"EAN";"7434003300752";29/11/2016 21:39:10;26/6/2016 00:00:00;203.20;31.75;63500.00;63430.00;;;;;;;
"FR";"Produit du tabac";"Cigare";"ASYLUM 13  [651D62A9D327FD15]";28/4/2020 19:38:00;"Asylum 13";;"sans filtre";20.00;;"Boîte avec couvercle coulissant";"SKU";"A1369";27/3/2018 17:45:53;4/1/2018 00:00:00;101.60;27.78;19630.00;19630.00;;;;;;;
"FR";"Produit du tabac";"Cigare";"ASYLUM 13  [8FBA9549E80F10F2]";26/8/2020 21:53:00;"Asylum 13";;"sans filtre";20.00;;"Boîte avec couvercle coulissant";"EAN";"7434003300103";29/11/2016 02:25:44;12/10/2015 00:00:00;127.00;19.84;18100.00;18080.00;;;;;;;
"FR";"Produit du tabac";"Cigare";"ASYLUM INSIDOUS  [13563283B5EF8032]";28/4/2020 19:38:00;"Asylum Insidous";;"sans filtre";25.00;;"Boîte à couvercle basculant";"EAN";"7423834501223";30/11/2016 20:32:17;26/1/2015 00:00:00;101.60;17.46;13600.00;13585.00;;;;;;;
"FR";"Produit du tabac";"Cigare";"ASYLUM INSIDOUS  [ACA8DC24EF4E8A98]";28/4/2020 19:38:00;"Asylum Insidous";;"sans filtre";25.00;;"Boîte avec couvercle coulissant";"EAN";"7423834500608";30/11/2016 01:23:39;26/1/2015 00:00:00;127.00;19.84;13600.00;13585.00;;;;;;;
